_id,Name,Code,date,High,Low,Open,Close,Last,Total_Trade_Quantity,Turnover_in_Lakhs,Sector,Index
ObjectId(58d10248e9804518868d85da),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-03-13T00:00:00.000Z,2347,2310.1,2332.95,2325.9,2325,122688,2860.47,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85db),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-03-20T00:00:00.000Z,2308,2268.35,2271,2303.35,2300.45,284447,6526.88,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85dc),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-03-27T00:00:00.000Z,2364,2304.9,2314.9,2356.4,2356.85,258677,6045.57,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85dd),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-04-03T00:00:00.000Z,2427.4,2378,2410,2419.85,2427.4,238387,5735.09,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85de),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-04-10T00:00:00.000Z,2404.85,2350.5,2369.95,2389.45,2398.5,214592,5117.98,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85df),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-04-17T00:00:00.000Z,2614.5,2473,2474.7,2582.5,2570.1,474377,12089.52,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85e0),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-04-24T00:00:00.000Z,2554,2479,2489.65,2522.15,2525,223129,5633.49,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85e1),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-05-01T00:00:00.000Z,2500.75,2462.85,2487,2491.95,2487,176707,4387.24,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85e2),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-05-08T00:00:00.000Z,2453.75,2430.1,2446.55,2435.2,2439,118418,2889.1,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85e3),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-05-15T00:00:00.000Z,2545,2508.5,2540.6,2517.7,2520,168060,4236.19,AUTOMOBILE,NIFTY AUTO
ObjectId(58d10248e9804518868d85e4),Bajaj Auto Limited,NSE/BAJAJ_AUTO,2016-05-22T00:00:00.000Z,2461.55,2427,2437,2453,2453.3,137638,3368.8,AUTOMOBILE,NIFTY AUTO
