NSE/AMAR,Amar Remedies Limited,
NSE/KOPDRUGS,KDL Biotech Limited,
NSE/ZUARIAGRO,Zuari Industries Limited,
NSE/KLRF,KLRF Limited,
NSE/SATYAMCOMP,Satyam Computer Services Limited,
NSE/FOURSOFT,Four Soft Limited,
NSE/ABHISHEK,Abhishek Corporation Limited,
NSE/HORIZONINF,Horizon Infrastructure Limited,
NSE/INV20,ICICIPRAMC - INV20,
NSE/FUTUREVENT,Future Ventures India Limited,
NSE/FCH,Future Capital Holdings Limited,
NSE/SIMPLEXCAS,Simplex Castings Limited,
NSE/KRITIIND,Kriti Industries (India) Limited,
NSE/ZEENEWS,Zee News Limited,
NSE/INEABS,INEOS ABS (India) Limited,
NSE/SBIGETS,SBI Mutual Fund - Gold ETF,
NSE/ASTERSILI,Aster Silicates Limited,
NSE/GSLNOVA,GSL Nova Petrochemicals Limited,
NSE/NOL,National Oxygen Limited,
NSE/DENSO,Denso India Limited,
NSE/HIRAFERRO,Hira Ferro Alloys Limited,
NSE/SURYAPHARM,Surya Pharmaceutical Limited,
NSE/CNXFINANCE,National Stock Exchange of India Stock Index - CNX FINANCE,
NSE/NIFTYMIDCAP,National Stock Exchange of India Stock Index - NIFTY MIDCAP 50,
NSE/IPGETF,ICICI Prudential Mutual Fund-ICICI Prudential Gold Exchange Traded Fund,
NSE/PROVOGUE,Provogue (India) Limited,
NSE/WWIL,Wire and Wireless (India) Limited,
NSE/EMPEESUG,Empee Sugars and Chemicals Limited,
NSE/CLUTCHAUTO,Clutch Auto Limited,
NSE/UNIPHOS,United Phosphorus Limited,
NSE/CPIL,Career Point Infosystems Limited,
NSE/PALRED,Palred Technologies Limited,
NSE/PARAL,Parekh Aluminex Limited,
NSE/ARL,Arvind Remedies Limited,
NSE/LUMAXAUTO,Lumax Automotive Systems Limited,
NSE/CNX_DEFTY,National Stock Exchange of India (NSE) Stock Index - CNX Defty,
NSE/GLORY,Glory Polyfilms Limited,
NSE/HCIL,Himadri Chemicals and Industries Limited,
NSE/PREMIERPOL,Premier Polyfilm Limited,
NSE/DRDATSONS,Dr. Datson's Labs Limited,
NSE/DCMSRMCONS,DCM Shriram Consolidated Limited,
NSE/IOLN,IOL Netcom Limited,
NSE/SHREEASHTA,Shree Ashtavinayak Cine Vision Limited,
NSE/BLUECHIP,Blue Chip India Limited,
NSE/EBANK,Edelweiss ETF - Nifty Bank,
NSE/JUMBO,Jumbo Bag Limited,
NSE/PATNI,Patni Computer Systems Limited,
NSE/CAMBRIDGE,Cambridge Solutions Limited,
NSE/LLOYDFIN,Lloyds Finance Limited,
NSE/INDIAINFO,India Infoline Limited,
NSE/SALONACOT,Salona Cotspin Limited,
NSE/CRONIMET,Cronimet Alloys India Limited,
NSE/NANDAN,Nandan Exim Limited,
NSE/MICROTECH,Micro Technologies (India) Limited,
NSE/CLASSIC,Classic Diamonds (India) Limited,
NSE/SHARRESLTD,Sharyans Resources Limited,
NSE/SUNCLAYTON,Sundaram Clayton Limited,
NSE/INDUSFILA,Indus Fila Limited,
NSE/DEWANHOUS,Dewan Housing Finance Corporation Limited,
NSE/CAROLINFO,Carol Info Services Limited,
NSE/AVENTIS,Aventis Pharma Limited,
NSE/DUNCANSIND,Duncans Industries Limited,
NSE/PIRHEALTH,Piramal Healthcare Limited,
NSE/ROSSELLIND,Rossell India Limited,
NSE/CINEPRO,Cinemax Properties Limited,
